dof,nominal_frequency_hz,mean_estimated_frequency_hz,repeats,added_mass_with_global_restoring_removed,linear_damping_effective,quadratic_damping,global_nuisance_restoring,r2
sway,0.1,0.09739752345679013,3,12.119877965763823,-1.2432813198653603,34.50691930014146,2.247099837005576,0.5988736002348438
sway,0.2,0.19803222962962963,3,6.798010558681847,-0.645574368644379,7.8993654117155385,2.247099837005576,0.9898288465980507
sway,0.3,0.29705705555555556,3,6.400369845150416,0.9250399005175681,-8.77507974058944,2.247099837005576,0.9971425624933468
sway,0.4,0.39603229135802476,3,6.295990997745112,-8.640543273057137,32.419054642788254,2.247099837005576,0.9726689346863445
sway,0.5,0.49506936419753084,3,6.361133766844366,-17.960427869205308,54.02886037811697,2.247099837005576,0.9867363702120088
sway,0.6,0.5941254814814815,3,6.513062563767433,-19.642163917045277,43.802965915576685,2.247099837005576,0.9417896270463552
sway,0.7,0.6928409012345679,3,6.449193323985654,-9.53821531297279,10.165222252308325,2.247099837005576,0.9658748313375228
heave,0.1,0.09739968641975309,3,17.51179495089765,7.840200416207438,-26.91714463536586,6.608731305537137,0.9197029940989837
heave,0.2,0.1980322197530864,3,12.918290073372694,6.8190161960937274,-2.8008260051132767,6.608731305537137,0.9952854236180023
heave,0.3,0.29705708148148147,3,11.475490072701696,7.317137524307116,-4.965733770836264,6.608731305537137,0.9968786007218403
heave,0.4,0.39603229135802476,3,11.166327494602852,4.826412171540387,0.6715952070695717,6.608731305537137,0.786151317225783
heave,0.5,0.49506938888888885,3,11.3730425277156,-4.221302909439007,13.959911930062875,6.608731305537137,0.9715558862023539
heave,0.6,0.5941254888888888,3,11.840588207812267,-1.3912561911810724,-3.4842270038907017,6.608731305537137,0.8886262755189897
heave,0.7,0.6928409098765432,3,11.558194555136584,10.420295361377432,-31.792113967718883,6.608731305537137,0.9730247976018793
pitch,0.1,0.09745726913580248,3,0.13302684568745216,0.20880861097977121,-0.9746862867474293,0.06608065655576152,0.9430646179018761
pitch,0.2,0.19803022222222225,3,0.04793033104500731,0.09657637641963301,-0.25485674772338457,0.06608065655576152,0.9512237660523019
pitch,0.3,0.2970601148148148,3,0.05420705849052139,0.08326434685819298,-0.22256415697114745,0.06608065655576152,0.9888741690169428
pitch,0.4,0.39602760000000004,3,0.05981256834831591,0.10679299915059372,-0.2913001556547423,0.06608065655576152,0.9978678306153371
pitch,0.5,0.4950709814814814,3,0.06037825147907578,0.021232546098400543,-0.13453738433744672,0.06608065655576152,0.9920568981311965
pitch,0.6,0.5941310666666667,3,0.05772830446037965,-0.02081938418403817,-0.11308073224505098,0.06608065655576152,0.990422919505443
pitch,0.7,0.6928384814814814,3,0.057593094113605275,-0.1816393459304196,0.07495122544155955,0.06608065655576152,0.9954783106898812
yaw,0.1,0.09735275679012347,3,-0.017174579938443568,0.0706430492735209,-0.29625727192515855,0.0053697337855375445,0.9503838321710425
yaw,0.2,0.19802950370370373,3,0.02580399666763969,0.028744047747732395,-0.05156527445213428,0.0053697337855375445,0.936680478606291
yaw,0.3,0.29706012592592596,3,0.03631410574246755,0.04144037100914645,-0.14104054228770976,0.0053697337855375445,0.9937260032344087
yaw,0.4,0.3960315851851852,3,0.03946256209833628,0.043832787580886386,-0.1782197063748378,0.0053697337855375445,0.9966547946771039
yaw,0.5,0.4950656851851852,3,0.0390362196241948,-0.018690254775858086,-0.08426431658684351,0.0053697337855375445,0.9949064327998586
yaw,0.6,0.5941363925925925,3,0.03802957432228008,-0.10216484705353555,0.005007700470772549,0.0053697337855375445,0.9914594934260237
yaw,0.7,0.6928372197530863,3,0.03788515327788315,-0.2149726211942839,0.09508248950939735,0.0053697337855375445,0.9994584767285273
